GenBank acession;country;year;source
MF423373.2;Brazil;2017;Haemagogus leucocelaenus
MF423378.2;Brazil;2017;Alouatta guariba clamitans
MN506291.1;Brazil;2017;Haemagogus janthinomys
MN506285.1;Brazil;2018;Haemagogus janthinomys
MN506284.1;Brazil;2018;Haemagogus janthinomys
MN506289.1;Brazil;2018;Haemagogus janthinomys
MN506287.1;Brazil;2018;Haemagogus janthinomys
MN506286.1;Brazil;2018;Haemagogus janthinomys
MK882618.1;Brazil;2018;Homo sapiens
MN506288.1;Brazil;2018;Haemagogus janthinomys
ON022439.1;Brazil;2017;Alouatta sp
ON022382.1;Brazil;2017;Alouatta caraya
ON022264.1;Brazil;2017;Callithrix penicillata
ON022513.1;Brazil;2018;Homo sapiens
ON022494.1;Brazil;2018;Homo sapiens
ON022479.1;Brazil;2018;Homo sapiens
ON022491.1;Brazil;2018;Homo sapiens
ON022510.1;Brazil;2018;Homo sapiens
ON022499.1;Brazil;2018;Homo sapiens
ON022503.1;Brazil;2018;Homo sapiens
ON022473.1;Brazil;2018;Homo sapiens
ON022502.1;Brazil;2018;Homo sapiens
ON022522.1;Brazil;2018;Homo sapiens
ON022534.1;Brazil;2018;Homo sapiens
ON022727.1;Brazil;2018;Homo sapiens
ON022489.1;Brazil;2018;Homo sapiens
ON022501.1;Brazil;2018;Homo sapiens
ON022493.1;Brazil;2018;Homo sapiens
ON022517.1;Brazil;2018;Callithrix
ON022465.1;Brazil;2018;Callithrix
ON022466.1;Brazil;2017;Alouatta sp
ON022519.1;Brazil;2017;Callithrix
ON022460.1;Brazil;2017;Alouatta sp
MK333808.1;Brazil;2018;Haemagogus janthinomys
ON022516.1;Brazil;2018;Homo sapiens
ON022273.1;Brazil;2018;Homo sapiens
ON022278.1;Brazil;2018;Homo sapiens
ON022397.1;Brazil;2017;Alouatta guariba clamitans
ON022438.1;Brazil;2018;Alouatta sp
ON022474.1;Brazil;2018;Homo sapiens
ON022537.1;Brazil;2017;Homo sapiens
ON022467.1;Brazil;2017;Callithrix
ON022430.1;Brazil;2017;Alouatta caraya
ON022463.1;Brazil;2017;Alouatta sp
ON022383.1;Brazil;2017;Cebidae
MH018077.1;Brazil;2017;Homo sapiens
MH018070.1;Brazil;2017;Homo sapiens
MH018085.1;Brazil;2017;Homo sapiens
MH018076.1;Brazil;2017;Homo sapiens
MH018083.1;Brazil;2017;Alouatta sp
ON022509.1;Brazil;2018;Homo sapiens
ON022532.1;Brazil;2017;Homo sapiens
MH018092.1;Brazil;2017;Homo sapiens
ON022387.1;Brazil;2017;Alouatta caraya
ON022449.1;Brazil;2018;Callithrix
ON022475.1;Brazil;2018;Homo sapiens
ON022445.1;Brazil;2018;Callithrix
ON022507.1;Brazil;2018;Homo sapiens
ON022485.1;Brazil;2018;Homo sapiens
ON022461.1;Brazil;2017;Non-human primate
ON022735.1;Brazil;2017;Callithrix
ON022734.1;Brazil;2017;Callithrix
ON022512.1;Brazil;2018;Homo sapiens
ON022543.1;Brazil;2018;Homo sapiens
ON022486.1;Brazil;2018;Homo sapiens
ON022452.1;Brazil;2018;Alouatta sp
ON022539.1;Brazil;2017;Homo sapiens
ON022660.1;Brazil;2018;Non-human primate
ON022442.1;Brazil;2018;Callithrix
ON022437.1;Brazil;2018;Callithrix
ON022454.1;Brazil;2018;Alouatta sp
ON022481.1;Brazil;2018;Homo sapiens
ON022526.1;Brazil;2018;Homo sapiens
ON022468.1;Brazil;2017;Non-human primate
ON022724.1;Brazil;2018;Homo sapiens
ON022533.1;Brazil;2018;Homo sapiens
ON022520.1;Brazil;2017;Homo sapiens
ON022544.1;Brazil;2018;Homo sapiens
ON022733.1;Brazil;2018;Callithrix
ON022530.1;Brazil;2018;Non-human primate
MH018086.1;Brazil;2017;Homo sapiens
MH018075.1;Brazil;2017;Homo sapiens
MH018097.1;Brazil;2017;Callicebus sp
MH018093.1;Brazil;2017;Homo sapiens
MH018074.1;Brazil;2017;Homo sapiens
MH018089.1;Brazil;2017;Homo sapiens
MH018084.1;Brazil;2017;Callithrix sp.
MH018073.1;Brazil;2017;Homo sapiens
MH018072.1;Brazil;2017;Homo sapiens
MH018087.1;Brazil;2017;Homo sapiens
MH018088.1;Brazil;2017;Homo sapiens
ON022723.1;Brazil;2017;Non-human primate
ON022732.1;Brazil;2017;Non-human primate
MH018098.1;Brazil;2017;Cebidae sp
MH018081.1;Brazil;2017;Cebidae sp
ON022731.1;Brazil;2017;Homo sapiens
ON022726.1;Brazil;2018;Homo sapiens
ON022529.1;Brazil;2017;Homo sapiens
ON022469.1;Brazil;2017;Callithrix
ON022730.1;Brazil;2017;Homo sapiens
ON022528.1;Brazil;2017;Homo sapiens
ON022514.1;Brazil;2018;Homo sapiens
ON022511.1;Brazil;2018;Homo sapiens
ON022427.1;Brazil;2017;Alouatta guariba clamitans
ON022462.1;Brazil;2018;Callithrix
ON022413.1;Brazil;2017;Alouatta guariba clamitans
ON022406.1;Brazil;2017;Alouatta guariba clamitans
ON022432.1;Brazil;2017;Alouatta guariba clamitans
ON022392.1;Brazil;2018;Callithrix
ON022497.1;Brazil;2018;Homo sapiens
ON022443.1;Brazil;2017;Alouatta
ON022398.1;Brazil;2017;Alouatta guariba clamitans
ON022523.1;Brazil;2017;Homo sapiens
ON022524.1;Brazil;2017;Homo sapiens
ON022409.1;Brazil;2017;Alouatta caraya
ON022416.1;Brazil;2017;Alouatta caraya
ON022538.1;Brazil;2017;Homo sapiens
ON022527.1;Brazil;2017;Homo sapiens
ON022535.1;Brazil;2017;Homo sapiens
ON022525.1;Brazil;2017;Homo sapiens
ON022536.1;Brazil;2017;Homo sapiens
ON022399.1;Brazil;2017;Cebidae
MH484432.1;Brazil;2017;Alouatta sp
ON022531.1;Brazil;2017;Homo sapiens
MH018090.1;Brazil;2017;Homo sapiens
ON022456.1;Brazil;2017;Non-human primate
MK882601.1;Brazil;2017;Homo sapiens
ON022455.1;Brazil;2017;Alouatta sp
ON022258.1;Brazil;2017;Cebidae
ON022265.1;Brazil;2018;Callithrix penicillata
ON022268.1;Brazil;2018;Homo sapiens
ON022423.1;Brazil;2017;Callithrix penicillata
ON022262.1;Brazil;2018;Alouatta sp
ON502413.1;Brazil;2018;Homo sapiens
ON502399.1;Brazil;2018;Homo sapiens
ON022257.1;Brazil;2018;Homo sapiens
ON022263.1;Brazil;2018;Homo sapiens
ON502391.1;Brazil;2018;Homo sapiens
ON502438.1;Brazil;2018;Homo sapiens
ON502389.1;Brazil;2018;Homo sapiens
ON022728.1;Brazil;2018;Homo sapiens
ON022495.1;Brazil;2018;Homo sapiens
ON022725.1;Brazil;2017;Homo sapiens
ON022428.1;Brazil;2017;Alouatta caraya
ON022425.1;Brazil;2017;Callithrix penicillata
ON022385.1;Brazil;2017;Callithrix penicillata
ON022405.1;Brazil;2017;Callithrix penicillata
ON022411.1;Brazil;2017;Callithrix penicillata
ON022431.1;Brazil;2017;Cebidae
ON022373.1;Brazil;2017;Alouatta caraya
MK249066.1;Brazil;2018;Non-human primate
ON502398.1;Brazil;2018;Homo sapiens
ON502409.1;Brazil;2018;Homo sapiens
ON022266.1;Brazil;2017;Cebidae
ON502414.1;Brazil;2018;Homo sapiens
ON502392.1;Brazil;2018;Homo sapiens
ON502419.1;Brazil;2018;Homo sapiens
ON022260.1;Brazil;2018;Homo sapiens
ON502396.1;Brazil;2018;Homo sapiens
ON022259.1;Brazil;2018;Callithrix penicillata
ON502393.1;Brazil;2018;Homo sapiens
ON502410.1;Brazil;2018;Homo sapiens
ON502394.1;Brazil;2018;Homo sapiens
ON502442.1;Brazil;2018;Homo sapiens
ON502412.1;Brazil;2018;Homo sapiens
ON022422.1;Brazil;2017;Cebidae
ON022417.1;Brazil;2017;Alouatta guariba clamitans
MH484426.1;Brazil;2017;Non-human primate
MH484434.1;Brazil;2017;Homo sapiens
MH484427.1;Brazil;2017;Callithrix sp
ON022384.1;Brazil;2017;Callithrix geoffroyi
ON022415.1;Brazil;2017;Callithrix geoffroyi
ON022379.1;Brazil;2017;Non-human primate
ON022388.1;Brazil;2017;Callithrix geoffroyi
ON022375.1;Brazil;2017;Cebidae
MF538784.2;Brazil;2017;Homo sapiens
MF170977.1;Brazil;2017;Homo sapiens
KY885001.2;Brazil;2017;Alouatta guariba clamitans
MF170978.1;Brazil;2017;Homo sapiens
MF170979.1;Brazil;2017;Homo sapiens
MF170976.1;Brazil;2017;Homo sapiens
ON502402.1;Brazil;2017;Homo sapiens
MF170968.1;Brazil;2017;Homo sapiens
ON022246.1;Brazil;2018;Homo sapiens
ON022245.1;Brazil;2018;Homo sapiens
ON502417.1;Brazil;2018;Homo sapiens
ON022393.1;Brazil;2017;Callithrix penicillata
ON022267.1;Brazil;2018;Homo sapiens
ON022380.1;Brazil;2017;Alouatta guariba clamitans
ON022244.1;Brazil;2018;Homo sapiens
ON022243.1;Brazil;2018;Callithrix
ON022248.1;Brazil;2018;Homo sapiens
ON022247.1;Brazil;2018;Homo sapiens
ON502418.1;Brazil;2018;Homo sapiens
ON502390.1;Brazil;2018;Homo sapiens
ON022377.1;Brazil;2018;Callithrix penicillata
ON502400.1;Brazil;2018;Homo sapiens
MK583154.1;Brazil;2018;Homo sapiens
ON502408.1;Brazil;2018;Homo sapiens
ON502395.1;Brazil;2018;Homo sapiens
ON502397.1;Brazil;2018;Homo sapiens
ON502407.1;Brazil;2017;Homo sapiens
MK333800.1;Brazil;2017;Alouatta guariba clamitans
KY885000.2;Brazil;2017;Alouatta guariba clamitans
MF423374.2;Brazil;2017;Haemagogus janthinomys
MF370531.1;Brazil;2017;Homo sapiens
MH018107.1;Brazil;2017;Homo sapiens
MF370537.1;Brazil;2017;Non-human primate
MN643084.1;Brazil;2018;Homo sapiens
MN643083.1;Brazil;2018;Homo sapiens
MF370530.1;Brazil;2017;Haemagogus janthinomys
MF538782.2;Brazil;2017;Homo sapiens
ON502415.1;Brazil;2018;Homo sapiens
MK882605.1;Brazil;2017;Homo sapiens
MK882615.1;Brazil;2017;Homo sapiens
ON022253.1;Brazil;2018;Homo sapiens
ON022272.1;Brazil;2018;Homo sapiens
MH484433.1;Brazil;2017;Non-human primate
MK882616.1;Brazil;2017;Homo sapiens
ON022256.1;Brazil;2018;Homo sapiens
ON022249.1;Brazil;2018;Homo sapiens
MK882599.1;Brazil;2017;Homo sapiens
ON022241.1;Brazil;2018;Alouatta sp
MK882606.1;Brazil;2017;Homo sapiens
MK882608.1;Brazil;2017;Homo sapiens
ON022279.1;Brazil;2018;Homo sapiens
MK882602.1;Brazil;2017;Domingos Martins
ON022261.1;Brazil;2018;Homo sapiens
MH018069.1;Brazil;2017;Homo sapiens
MK882612.1;Brazil;2017;Homo sapiens
MH329655.1;Brazil;2018;Aedes albopictus
MK882609.1;Brazil;2017;Homo sapiens
MH484428.1;Brazil;2017;Homo sapiens
MH484424.1;Brazil;2017;Homo sapiens
MH018099.1;Brazil;2017;Non-human primate
MN604280.1;Brazil;2017;Callithrix
MN604287.1;Brazil;2017;Alouatta sp
MH018080.1;Brazil;2017;Homo sapiens
ON502425.1;Brazil;2017;Homo sapiens
MH484425.1;Brazil;2017;Homo sapiens
ON502434.1;Brazil;2017;Homo sapiens
ON502430.1;Brazil;2017;Homo sapiens
ON502427.1;Brazil;2017;Homo sapiens
MH018068.1;Brazil;2017;Homo sapiens
MH560359.1;Brazil;2017;Homo sapiens
ON502428.1;Brazil;2017;Homo sapiens
MF370532.1;Brazil;2017;Homo sapiens
MF370534.1;Brazil;2016;Callithrix penicillata
ON502437.1;Brazil;2017;Homo sapiens
MF370538.1;Brazil;2017;Callithrix penicillata
MN604281.2;Brazil;2017;Alouatta sp
MN604282.2;Brazil;2017;Callithrix
MN604283.2;Brazil;2017;Callithrix
ON022458.1;Brazil;2018;Alouatta sp
MN604285.1;Brazil;2017;Callithrix penicillata
MN604286.1;Brazil;2017;Callithrix penicillata
ON022457.1;Brazil;2018;Callithrix
ON022451.1;Brazil;2018;Alouatta sp
ON022472.1;Brazil;2018;Homo sapiens
ON022464.1;Brazil;2017;Non-human primate
ON022470.1;Brazil;2018;Homo sapiens
ON022447.1;Brazil;2017;Homo sapiens
ON022444.1;Brazil;2017;Alouatta sp
ON022440.1;Brazil;2018;Alouatta sp
MN643092.1;Brazil;2018;Alouatta guariba
ON022459.1;Brazil;2018;Callithrix
ON022434.1;Brazil;2018;Alouatta sp
ON022521.1;Brazil;2017;Homo sapiens
ON022433.1;Brazil;2018;Alouatta sp
ON022441.1;Brazil;2018;Callicebus
ON022478.1;Brazil;2018;Homo sapiens
ON022488.1;Brazil;2018;Homo sapiens
ON022515.1;Brazil;2018;Homo sapiens
ON022395.1;Brazil;2017;Alouatta guariba clamitans
ON022518.1;Brazil;2017;Non-human primate
ON022487.1;Brazil;2018;Homo sapiens
ON022505.1;Brazil;2018;Homo sapiens
MK882613.1;Brazil;2017;Homo sapiens
ON022484.1;Brazil;2018;Homo sapiens
ON022446.1;Brazil;2017;Non-human primate
ON022436.1;Brazil;2018;Alouatta sp
ON022277.1;Brazil;2018;Homo sapiens
MN506278.1;Brazil;2017;Haemagogus leucocelaenus 
ON022313.1;Brazil;2018;Alouatta sp
MN506277.1;Brazil;2017;Haemagogus leucocelaenus 
MK333802.1;Brazil;2017;Haemagogus leucocelaenus
MF170974.1;Brazil;2017;Homo sapiens
MN506281.1;Brazil;2017;Haemagogus janthinomys
MN643088.1;Brazil;2017;Alouatta guariba
MF423376.2;Brazil;2017;Alouatta guariba clamitans
MF370547.1;Brazil;2017;Alouatta sp
MH018112.1;Brazil;2017;Alouatta sp
MK333805.1;Brazil;2018;Sabethes chloropterus
ON022477.1;Brazil;2018;Homo sapiens
ON022490.1;Brazil;2018;Homo sapiens
ON022496.1;Brazil;2017;Homo sapiens
ON022453.1;Brazil;2018;Callithrix
ON022287.1;Brazil;2018;Alouatta sp
MN643086.1;Brazil;2018;Homo sapiens
MH378284.1;Brazil;2017;Homo sapiens
ON022285.1;Brazil;2018;Alouatta sp
MN506270.1;Brazil;2017;Haemagogus leucocelaenus 
MN506269.1;Brazil;2017;Haemagogus leucocelaenus 
MN506274.1;Brazil;2017;Aedes taeniorhynchus
MN506272.1;Brazil;2017;Aedes scapularis
MK089775.1;Brazil;2017;Ochlerotatus taeniorhynchus
MN506276.1;Brazil;2017;Haemagogus leucocelaenus 
MF538786.2;Brazil;2017;marmoset
MN643081.1;Brazil;2018;Homo sapiens
ON022480.1;Brazil;2018;Homo sapiens
MN643082.1;Brazil;2018;Homo sapiens
MK882603.1;Brazil;2018;Homo sapiens
MK882600.1;Brazil;2018;Homo sapiens
MK533792.1;Brazil;2019;Alouatta guariba clamitans
MN506275.1;Brazil;2017;Haemagogus leucocelaenus 
MF170981.1;Brazil;2017;Homo sapiens
MF170970.1;Brazil;2017;Homo sapiens
MF170969.1;Brazil;2017;Homo sapiens
MN506280.1;Brazil;2017;Haemagogus leucocelaenus 
MN506279.1;Brazil;2017;Haemagogus leucocelaenus 
MN506268.1;Brazil;2017;Haemagogus leucocelaenus 
MN506271.1;Brazil;2017;Haemagogus leucocelaenus 
MN506267.1;Brazil;2017;Haemagogus leucocelaenus 
MF170980.1;Brazil;2017;Homo sapiens
MK333801.1;Brazil;2017;Haemagogus janthinomys
MF423375.2;Brazil;2017;Alouatta guariba clamitans
MK583168.1;Brazil;2018;Homo sapiens
MN506282.1;Brazil;2017;Haemagogus janthinomys
MF170973.1;Brazil;2017;Homo sapiens
MN643091.1;Brazil;2018;Alouatta guariba
MN506283.1;Brazil;2017;Haemagogus janthinomys
MN506273.1;Brazil;2017;Haemagogus leucocelaenus 
MN643090.1;Brazil;2018;Alouatta guariba
MK882611.1;Brazil;2017;Homo sapiens
MK882607.1;Brazil;2017;Homo sapiens
MF170972.1;Brazil;2017;Homo sapiens
MK882621.1;Brazil;2018;Homo sapiens
MF434851.2;Brazil;2017;Homo sapiens
MN643089.1;Brazil;2017;Alouatta guariba
ON022435.1;Brazil;2017;Alouatta sp
ON022269.1;Brazil;2017;Alouatta sp
MK882617.1;Brazil;2017;Homo sapiens
MN643087.1;Brazil;2018;Homo sapiens
MN506266.1;Brazil;2018;Haemagogus janthinomys
MN643085.1;Brazil;2018;Homo sapiens
MF538783.2;Brazil;2017;Homo sapiens
MF370533.1;Brazil;2017;Homo sapiens
ON502432.1;Brazil;2017;Homo sapiens
ON502404.1;Brazil;2017;Homo sapiens
ON502426.1;Brazil;2017;Homo sapiens
MH018091.1;Brazil;2017;Homo sapiens
MH018078.1;Brazil;2017;Homo sapiens
ON502429.1;Brazil;2017;Homo sapiens
MH018094.1;Brazil;2017;Homo sapiens
MH018110.1;Brazil;2017;Callithrix sp.
MH018111.1;Brazil;2017;Homo sapiens
MH018113.1;Brazil;2017;Homo sapiens
MH018109.1;Brazil;2017;Alouatta sp
MH018106.1;Brazil;2017;Alouatta sp
MH018104.1;Brazil;2017;Homo sapiens
MH018102.1;Brazil;2017;Non-human primate
MH018103.1;Brazil;2017;Homo sapiens
MH018105.1;Brazil;2017;Homo sapiens
MK249065.1;Brazil;2017;Homo sapiens
MH018096.1;Brazil;2017;Alouatta sp
MH018095.1;Brazil;2017;Callithrix sp
MH018079.1;Brazil;2017;Homo sapiens
ON502433.1;Brazil;2017;Homo sapiens
ON502423.1;Brazil;2017;Homo sapiens
ON502436.1;Brazil;2017;Homo sapiens
ON502431.1;Brazil;2017;Homo sapiens
ON502406.1;Brazil;2017;Homo sapiens
MF465805.1;Brazil;2017;Homo sapiens
MH484429.1;Brazil;2017;Callithrix sp
MF370535.1;Brazil;2016;Alouatta sp
MF370536.1;Brazil;2016;Alouatta sp
MF370549.1;Brazil;2015;Non-human primate
MK882614.1;Brazil;2017;Homo sapiens
MH018071.1;Brazil;2017;Homo sapiens
ON502439.1;Brazil;2018;Homo sapiens
ON502405.1;Brazil;2018;Homo sapiens
ON022372.1;Brazil;2017;Alouatta guariba clamitans
ON022251.1;Brazil;2018;Cebidae
ON502440.1;Brazil;2018;Homo sapiens
ON502411.1;Brazil;2018;Homo sapiens
ON022255.1;Brazil;2018;Homo sapiens
ON022250.1;Brazil;2018;Homo sapiens
ON502420.1;Brazil;2018;Homo sapiens
ON022254.1;Brazil;2018;Callithrix penicillata
ON022252.1;Brazil;2018;Cebidae
ON502421.1;Brazil;2018;Homo sapiens
ON502441.1;Brazil;2018;Homo sapiens
ON502401.1;Brazil;2018;Homo sapiens
ON022371.1;Brazil;2017;Alouatta caraya
ON022410.1;Brazil;2017;Callithrix penicillata
ON022403.1;Brazil;2017;Alouatta guariba clamitans
ON022402.1;Brazil;2017;Non-human primate
ON022419.1;Brazil;2017;Non-human primate
ON022391.1;Brazil;2017;Alouatta guariba clamitans
ON022376.1;Brazil;2018;Alouatta sp
ON022412.1;Brazil;2017;Alouatta caraya
ON022394.1;Brazil;2018;Callithrix penicillata
ON022404.1;Brazil;2017;Alouatta caraya
ON022396.1;Brazil;2017;Callithrix penicillata
ON022418.1;Brazil;2017;Sapajus apella
ON022401.1;Brazil;2017;Non-human primate
ON022389.1;Brazil;2017;Cebidae
MH484431.1;Brazil;2017;Non-human primate
MH666058.1;Brazil;2016;Sapajus sp
MH666056.1;Brazil;2016;Alouatta sp
ON022288.1;Brazil;2016;Non-human primate
ON022700.1;Brazil;2016;Alouatta sp
MT497523.1;Brazil;2016;Alouatta sp
MT497524.1;Brazil;2016;Alouatta sp
ON022311.1;Brazil;2016;Alouatta sp
MT497520.1;Brazil;2016;Sapajus sp
OP508588.1;Brazil;2022;Non-human primate
OP508585.1;Brazil;2022;Non-human primate
OP508582.1;Brazil;2022;Non-human primate
OP508583.1;Brazil;2022;Non-human primate
OP508586.1;Brazil;2022;Non-human primate
OP508581.1;Brazil;2022;Non-human primate
OP508589.1;Brazil;2022;Non-human primate
OP508580.1;Brazil;2022;Non-human primate
OP508578.1;Brazil;2022;Non-human primate
OP508584.1;Brazil;2022;Non-human primate
OP508577.1;Brazil;2022;Non-human primate
OP508579.1;Brazil;2022;Non-human primate
OL519589.1;Brazil;2021;Alouatta caraya
OL519588.1;Brazil;2021;Alouatta caraya
OL519587.1;Brazil;2021;Alouatta caraya
OQ572696.1;Brazil;2021;Sabethes chloropterus
OQ572695.1;Brazil;2021;Sabethes chloropterus
OP508576.1;Brazil;2021;Non-human primate
OP508574.1;Brazil;2020;Alouatta caraya
OP508571.1;Brazil;2020;Callithrix penicillata
OP508572.1;Brazil;2020;Alouatta caraya
OP508570.1;Brazil;2020;Callithrix penicillata
OP508575.1;Brazil;2020;Alouatta caraya
OP508573.1;Brazil;2020;Alouatta caraya
OP508715.1;Brazil;2017;Non-human primate
MF370546.1;Brazil;2017;Alouatta caraya
MF370544.1;Brazil;2017;Aotus ozzarae infulatus
MF370540.1;Brazil;2017;Alouatta seniculus
MF370541.1;Brazil;2017;Alouatta sp.
O-022716.1;Brazil;2004;Homo sapiens
MW158352.1;Venezuela;2005;Alouatta seniculus
MW158351.1;Venezuela;2005;Alouatta seniculus
MW158355.1;Venezuela;2006;Alouatta seniculus
KM388818.1;Venezuela;2006;Alouatta seniculus
MW158356.1;Venezuela;2007;Alouatta seniculus
KM388815.1;Venezuela;2007;Alouatta seniculus
KM388814.1;Venezuela;2005;Homo sapiens
MW158353.1;Venezuela;2005;Homo sapiens
MW158354.1;Venezuela;2005;Homo sapiens
MW158357.1;Venezuela;2010;Alouatta seniculus
KM388816.1;Venezuela;2010;Alouatta seniculus
MW158350.1;Venezuela;2004;Alouatta seniculus
KM388817.1;Venezuela;2004;Alouatta seniculus
MK333803.1;Brazil;2017;Alouatta caraya
MF370543.1;Brazil;2017;Alouatta sp.
KY861728.1;Brazil;2008;Alouatta sp.
JF912190.1;Brazil;2002;Homo sapiens
MF370542.1;Brazil;2017;Alouatta guariba
MF370539.1;Brazil;2017;Sapajus libidinosus
ON022717.1;Brazil;2000;Homo sapiens
ON022720.1;Brazil;2000;Homo sapiens
JF912188.1;Brazil;2000;Homo sapiens
MH018101.1;Brazil;2003;Homo sapiens
MH018100.1;Brazil;2003;Homo sapiens
MG969501.1;Brazil;2001;Homo sapiens
JF912187.1;Brazil;2000;Homo sapiens
MW158342.1;Brazil;2000;Homo sapiens
ON022718.1;Brazil;2000;Homo sapiens
JF912189.1;Brazil;2001;Alouatta sp.
MF370545.1;Brazil;2017;Homo sapiens
MF347613.1;Suriname;2017;Homo sapiens
MW158367.1;Trinidad and Tobago;2009;Coquillettidia venezuelensis
MW158365.1;Trinidad and Tobago;2008;Mansonia titillans
HM582851.1;Trinidad and Tobago;2009;Alouatta seniculus
MW158366.1;Trinidad and Tobago;2009;Culex spissipes
MW158364.1;Trinidad and Tobago;2009;Coquillettidia venezuelensis
MW158349.1;Venezuela;2004;Alouatta seniculus
MW158348.1;Trinidad and Tobago;1995;Haemagogus sp.
MW158346.1;Trinidad and Tobago;1989;Sabethes chloropterus
MW158345.1;Trinidad and Tobago;1988;Haemagogus janthinomys
MW158347.1;Trinidad and Tobago;1989;Alouatta sp.
ON022722.1;Brazil;1993;Homo sapiens
JF912185.1;Brazil;1992;Sabethes sp.
JF912182.1;Brazil;1984;Homo sapiens
MW158344.1;Brazil;1985;Haemagogus janthinomys
JF912180.1;Brazil;1981;Homo sapiens
MW158343.1;Brazil;1973;Haemagogus sp.
MW158341.1;Brazil;1991;Alouatta sp.
JF912186.1;Brazil;1994;Homo sapiens
JF912184.1;Brazil;1987;Homo sapiens
JF912179.1;Brazil;1980;Haemagogus sp.
JF912183.1;Brazil;1984;Homo sapiens
MW158340.1;Brazil;1968;Saguinus midas
MW158338.1;Brazil;1955;Sentinel monkey
MW158339.1;Brazil;1960;Cebus sp.
MW158361.1;Peru;1995;Homo sapiens
MW158359.1;Peru;1998;Homo sapiens
MF004382.1;Bolivia;1999;Homo sapiens
KF907504.1;Bolivia;1999;Homo sapiens
